ENTIDAD,PUESTO,NOMBRE_COMPLETO,DJI_ESTADO,DJI_REF
CONGRESO DE LA REPÚBLICA,ASESOR PARLAMENTARIO,ABANTO VALDIVIESO JOSE ANTONIO,null,null
CONGRESO DE LA REPÚBLICA,DIRECTOR GRAL PARLAMENTARIO,ABENSUR PINASCO JAIME AMERICO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,ACATE CORONEL EDUARDO GEOVANNI,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,ACUÑA NUÑEZ RICHARD FRANK,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,ACUÑA PERALTA HUMBERTO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,AGUILAR ZAMORA MANUEL,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,AGURTO AYALA FRANCISCO JAVIER,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,ALARCON TEJADA EDGAR ARNOLD,null,null
CONGRESO DE LA REPÚBLICA,ASESOR,ALCANTARA INFANTES WILLIAM FEDERICO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,ALCORTA SUERO MARIA LOURDES PIA LUISA,FIRMADA 19/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33551&llave=YNTDGIFO&idet=1
CONGRESO DE LA REPÚBLICA,ASESOR,ALEGRIA GARCIA LUIS ARTURO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,ALENCASTRE MIRANDA HIRMA NORMA,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,ALIAGA PAJARES GUILLERMO ALEJANDRO ANTONIO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,ALMERI VERAMENDI CARLOS ALBERTO,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,ALONZO FERNANDEZ GILBERT JUAN,null,null
CONGRESO DE LA REPÚBLICA,ESPECIALISTA,ALVARADO DEXTRE FRIDER ROSALIO,FIRMADA 10/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=35852&llave=VXO5ZZWI&idet=1
CONGRESO DE LA REPÚBLICA,RESPONSABLE DEL G.F. GIROS Y CONCILIACIONES,ALVARADO PEREZ NERY ELVIS,null,null
