ENTIDAD,PUESTO,NOMBRE_COMPLETO,DJI_ESTADO,DJI_REF
PRESIDENCIA DEL CONSEJO DE MINISTROS - PCM VER TODAS LAS DJIS,PRESIDENTE DEL CONSEJO DE MINISTROS,VILLANUEVA AREVALO CESAR,FIRMADA 13/03/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=12816&llave=ID4NKJMN&idet=1
PRESIDENCIA DEL CONSEJO DE MINISTROS - PCM VER TODAS LAS DJIS,PRESIDENTE DEL CONSEJO DE MINISTROS,DEL SOLAR LABARTHE SALVADOR ALEJANDRO JORGE,FIRMADA 02/10/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=19734&llave=WGXRKC2M&idet=1
MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS (MINJUS) VER TODAS LAS DJIS,Ministro,ZEBALLOS SALINAS VICENTE ANTONIO,FIRMADA 05/10/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=21457&llave=KJF59UHP&idet=1
PRESIDENCIA DEL CONSEJO DE MINISTROS - PCM VER TODAS LAS DJIS,PRESIDENTE DEL CONSEJO DE MINISTROS,CATERIANO BELLIDO PEDRO ALVARO,FIRMADA 06/08/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=41171&llave=VPCHJGQE&idet=1
MINISTERIO DE DEFENSA (MINDEF) VER TODAS LAS DJIS,MINISTRO DE DEFENSA,MARTOS RUIZ WALTER ROGER,FIRMADA 12/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=47849&llave=MECFLMJI&idet=1
PRESIDENCIA DEL CONSEJO DE MINISTROS - PCM VER TODAS LAS DJIS,PRESIDENTE DEL CONSEJO DE MINISTROS,FLORES ARAOZ ESPARZA ANTERO,null,null
MINISTERIO DE RELACIONES EXTERIORES (RREE) VER TODAS LAS DJIS,Ministro,POPOLIZIO BARDALES NESTOR FRANCISCO,FIRMADA 16/10/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=20289&llave=NQNJVIDQ&idet=1
MINISTERIO DE RELACIONES EXTERIORES (RREE) VER TODAS LAS DJIS,Ministro de Estado en el Despacho de Relaciones Exteriores,MEZA CUADRA VELASQUEZ GUSTAVO ADOLFO,FIRMADA 05/11/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=22425&llave=5GBGKRSW&idet=2
MINISTERIO DE RELACIONES EXTERIORES (RREE) VER TODAS LAS DJIS,MINISTRO,LÓPEZ CHÁVARRI MARIO JUVENAL,FIRMADA 03/08/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=41343&llave=ZGXWDIGJ&idet=1
MINISTERIO DE DEFENSA (MINDEF) VER TODAS LAS DJIS,MINISTRO DE DEFENSA,HUERTA TORRES JOSE MODESTO,FIRMADA 03/04/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=13705&llave=KT7QVDO2&idet=2
MINISTERIO DE DEFENSA (MINDEF) VER TODAS LAS DJIS,MINISTRO,MOSCOSO FLORES JORGE RICARDO FRANCISCO,FIRMADA 11/10/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=20508&llave=6QFBCS17&idet=1
